"id","male","Eqp","Age","BodyweightKg","Y","super","obs","ratio","Age2"
21,0,3,42.5,55.4,102.5,0,7,1.85018050541516,1806.25
21,0,3,43.5,55.7,120,0,8,2.15439856373429,1892.25
21,0,3,45.5,56.1,115,0,9,2.04991087344029,2070.25
21,0,3,46.5,56.58,130,0,10,2.29763167196889,2162.25
21,0,4,48.5,56.65,80,0,11,1.41218005295675,2352.25
21,0,3,49.5,56.66,120,0,12,2.11789622308507,2450.25
22,0,3,23.5,48,137.5,1,1,2.86458333333333,552.25
22,0,3,24.5,52,150,1,2,2.88461538461538,600.25
22,0,3,25.5,51.95,160,1,3,3.07988450433109,650.25
22,0,3,27.5,54.6,195,1,4,3.57142857142857,756.25
22,0,3,29.5,53.95,200,1,5,3.70713623725672,870.25
22,0,3,30.5,51.85,175,1,6,3.37512054001929,930.25
22,0,4,32.5,52,135,1,7,2.59615384615385,1056.25
22,0,3,33.5,51.7,130,1,8,2.51450676982592,1122.25
22,0,4,34.5,51.65,132.5,1,9,2.56534365924492,1190.25
22,0,4,36.5,51.85,127.5,0,10,2.45901639344262,1332.25
22,0,3,37.5,51.72,185,1,11,3.5769528228925,1406.25
22,0,3,39.5,51.92,190,1,12,3.65947611710324,1560.25
23,0,3,29.5,66.7,185,1,1,2.7736131934033,870.25
23,0,3,33.5,66.3,207.5,1,2,3.12971342383107,1122.25
23,0,3,35.5,66.6,215,1,3,3.22822822822823,1260.25
23,0,3,38.5,66.35,200,1,4,3.01431801055011,1482.25
23,0,3,39.5,67.85,210,1,5,3.09506263817244,1560.25
23,0,3,41.5,66.8,207.5,1,6,3.1062874251497,1722.25
23,0,3,42.5,66.5,202.5,1,7,3.04511278195489,1806.25
23,0,3,44.5,66.05,220,1,8,3.33080999242998,1980.25
23,0,3,45.5,66.7,215,1,9,3.22338830584708,2070.25
23,0,3,46.5,62.4,210,1,10,3.36538461538462,2162.25
23,0,3,51.5,62.5,200,1,11,3.2,2652.25
23,0,3,52.5,64.32,212.5,1,12,3.30379353233831,2756.25
24,0,3,42,47.4,92.5,0,1,1.95147679324895,1764
24,0,3,45,47.36,135,1,2,2.85050675675676,2025
24,0,3,46,47.17,137.5,1,3,2.91498834004664,2116
24,0,2,47,47.94,107.5,0,4,2.24238631622862,2209
24,0,2,48,45.36,122.47,1,5,2.69995590828924,2304
24,0,2,49,47.85,140,1,6,2.92580982236155,2401
24,0,2,50,46,137.5,1,7,2.98913043478261,2500
24,0,3,50,47.5,142.5,1,8,3,2500
24,0,3,51,49.3,147.5,1,9,2.99188640973631,2601
24,0,2,51,46.9,140,1,10,2.98507462686567,2601
24,0,2,52,47.9,125,1,11,2.60960334029228,2704
24,0,2,52,47.9,125,1,12,2.60960334029228,2704
25,1,3,20.5,114.2,330,1,1,2.88966725043783,420.25
25,1,3,21.5,108,355,1,2,3.28703703703704,462.25
25,1,3,22.5,122.05,390,1,3,3.19541171650963,506.25
25,1,3,24.5,130.75,392.5,1,4,3.0019120458891,600.25
25,1,3,26.5,136.8,410,1,5,2.99707602339181,702.25
25,1,3,26.5,142.1,430,1,6,3.02603800140746,702.25
25,1,3,27.5,147.85,425,1,7,2.8745350016909,756.25
25,1,4,29.5,149.35,355,0,8,2.37696685637764,870.25
25,1,4,30.5,138.95,340,0,9,2.44692335372436,930.25
25,1,4,31.5,136.3,355.5,1,10,2.60821716801174,992.25
25,1,4,32.5,142.29,365,1,11,2.56518377960503,1056.25
25,1,4,32.5,145.55,370,1,12,2.54208175884576,1056.25
26,0,3,25.5,50.8,122.5,0,1,2.41141732283465,650.25
26,0,3,26.5,52,125,0,2,2.40384615384615,702.25
26,0,3,27.5,56,125,0,3,2.23214285714286,756.25
26,0,3,31.5,52,137.5,1,4,2.64423076923077,992.25
26,0,3,32.5,55.8,160,1,5,2.8673835125448,1056.25
26,0,3,33.5,55.5,150,1,6,2.7027027027027,1122.25
26,0,3,35.5,51.6,140,1,7,2.71317829457364,1260.25
26,0,3,35.5,51.8,145,1,8,2.7992277992278,1260.25
